season,habitat,species,size,GCB
spring,rf4,etsp,48,11.09178983
spring,rf4,etsp,46,1.775077376
spring,rf4,etsp,47,1.613098391
spring,rf4,etsp,41,0.719193831
spring,rf4,etsp,40,1.65049572
spring,rf5,etsp,47,3.206622633
spring,rf5,etsp,45,1.924876449
spring,rf5,etsp,45,1.355266177
spring,rf5,etsp,43,1.163801395
spring,run1,etsp,44,2.579479075
spring,run2,etsp,52,2.167913882
spring,run2,etsp,43,2.57715178
spring,run2,etsp,43,2.722831989
spring,run3,etsp,40,1.317155422
spring,pl1,leme,73,2.559960472
spring,pl1,leme,63,4.322489748
spring,pl2,leme,115,31.3
spring,pl2,leme,78,2.832960967
spring,pl2,leme,76,1
spring,pl2,leme,74,10.35086633
spring,pl2,leme,74,31.01808704
spring,pl4,leme,80,4.5
spring,pl4,leme,68,25.10417202
spring,pl5,leme,100,11.05698002
spring,pl5,leme,96,1.170940048
spring,pl5,leme,74,1.574384559
spring,run1,leme,100,0.75
spring,run1,leme,77,1.805228105
spring,run2,leme,65,64.12956409
spring,run2,leme,65,12.50045085
spring,run2,leme,58,3.633886322
spring,run4,leme,102,41.80187721
spring,run4,leme,87,3.505840129
spring,run5,leme,97,14.49980948
spring,run5,leme,93,20.98370924
spring,run5,leme,78,7.405439595
spring,pl3,leme,87,0.902586636
spring,pl3,leme,77,2
spring,run3,leme,105,5.227920064
spring,run3,leme,77,30.73099774
spring,run3,leme,75,6.050214735
spring,run3,leme,73,14.17723022
spring,rf1,luch,73,1.670940048
spring,rf1,luch,72,1
spring,rf1,luch,73,1.856980016
spring,rf1,luch,68,2.119312105
spring,rf1,luch,68,1
spring,rf2,luch,83,0.918872832
spring,rf2,luch,52,0.5
spring,rf4,luch,86,0.75
spring,rf5,luch,77,2.196880096
spring,rf5,luch,72,1.750215152
spring,rf5,luch,72,2.450869577
spring,rf5,luch,68,4.388487205
spring,rf5,luch,67,1.566962088
spring,run1,luch,71,1
spring,run2,luch,74,2
spring,run2,luch,68,3.262181152
spring,run2,luch,63,2
spring,run2,luch,53,1.5
spring,run3,luch,113,10.4
spring,run3,luch,80,2.727920064
spring,run3,luch,72,0
spring,run4,luch,72,2.5
spring,run4,luch,69,2.056980016
spring,run4,luch,67,1.811221693
spring,run4,luch,55,1
spring,run5,luch,62,5.693235136
spring,pl5,luch,74,3.253560354
spring,pl5,luch,72,4.797720225
spring,rf1,luzo,75,2.112615546
spring,rf2,luzo,74,2.538724608
spring,rf2,luzo,74,2
spring,rf2,luzo,73,1.5
spring,rf2,luzo,63,2.974435291
spring,rf3,luzo,74,2.120168144
spring,rf3,luzo,74,1.206141184
spring,rf3,luzo,53?,0
spring,rf4,luzo,87,2.373595275
spring,rf4,luzo,77,3.406749099
spring,rf4,luzo,77,2.183478626
spring,rf5,luzo,92,9.615140611
spring,rf5,luzo,85,12.70657379
spring,rf5,luzo,77,12.8868674
spring,rf5,luzo,72,2.469879808
spring,rf5,luzo,72,0.876141184
spring,run2,luzo,64,2.092181152
spring,run5,luzo,80,4.5
spring,run5,luzo,72,4.240740209
spring,run5,luzo,68,2.039615654
spring,pl5,luzo,62,0.113960032
spring,rf1,nobo,62,1.562332089
spring,rf1,nobo,58,1.262181152
spring,rf1,nobo,58,1.524362304
spring,rf1,nobo,58,1
spring,rf2,nobo,60,0.889327318
spring,rf2,nobo,62,2.900503488
spring,rf2,nobo,62,1.296526819
spring,rf2,nobo,63,1.368675606
spring,rf2,nobo,58,1.819161168
spring,rf3,nobo,62,1.458273334
spring,run1,nobo,60,2.696174215
spring,run1,nobo,54,1.170940048
spring,run1,nobo,48,0.613960032
spring,run1,nobo,48,1.053373353
spring,run2,nobo,72,1.556980016
spring,run2,nobo,48,0.455840129
spring,run2,nobo,48,1.388961329
spring,run3,nobo,53,0
spring,run3,nobo,50,1.5
spring,run4,nobo,66,2.082181152
spring,run4,nobo,63,1.183760193
spring,run5,nobo,70,0
spring,run5,nobo,66,1.262181152
spring,run5,nobo,58,1.16
spring,run5,nobo,55,0.75
spring,pl4,nobo,54,0.5
spring,pl4,nobo,47,1.5
spring,pl4,nobo,47,1.41524961
spring,pl4,nobo,45,1.51438285
spring,pl4,nobo,58,2.670940048
spring,pl5,nobo,48,0.243976283
